,,,,2002,to,2010,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Gujarat,Rajkot,Gondal,Other,Spices,4,2130,3550,3245,01-02-2002
Gujarat,Rajkot,Gondal,Other,Spices,11,2005,4410,3725,01-03-2002
Gujarat,Rajkot,Gondal,Other,Spices,6,2875,4275,3475,01-04-2002
Gujarat,Rajkot,Gondal,Other,Spices,4,2090,4440,4120,01-07-2002
Gujarat,Rajkot,Gondal,Other,Spices,5,3755,4545,4440,01-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,3,1805,4770,4420,01-09-2002
Gujarat,Rajkot,Gondal,Other,Spices,7,3600,4580,4125,01-10-2002
Gujarat,Rajkot,Gondal,Other,Spices,8,2750,4000,3830,01-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,1,2150,4400,3340,01-12-2002
Gujarat,Rajkot,Gondal,Other,Spices,5,2855,4240,3720,1/15/2002
Gujarat,Rajkot,Gondal,Other,Spices,3,2300,3805,3500,1/16/2002
Gujarat,Rajkot,Gondal,Other,Spices,4,1455,3820,3680,1/17/2002
Gujarat,Rajkot,Gondal,Other,Spices,2,2560,3245,3100,1/19/2002
Gujarat,Rajkot,Gondal,Other,Spices,4,2085,3945,3355,1/21/2002
Gujarat,Rajkot,Gondal,Other,Spices,2,3045,3890,3500,1/22/2002
Gujarat,Rajkot,Gondal,Other,Spices,2,1230,3995,3625,1/23/2002
Gujarat,Rajkot,Gondal,Other,Spices,5,2700,4000,3500,1/24/2002
Gujarat,Rajkot,Gondal,Other,Spices,2,1600,2800,2350,1/25/2002
Gujarat,Rajkot,Gondal,Other,Spices,5,1250,3305,2200,1/28/2002
Gujarat,Rajkot,Gondal,Other,Spices,5,1600,3140,2620,1/29/2002
Gujarat,Rajkot,Gondal,Other,Spices,4.8,1605,3020,2195,1/30/2002
Gujarat,Rajkot,Gondal,Other,Spices,9.5,2625,3625,3000,1/31/2002
Gujarat,Rajkot,Gondal,Other,Spices,6.4,1500,3470,2095,02-01-2002
Gujarat,Rajkot,Gondal,Other,Spices,11.7,1045,3925,2975,02-02-2002
Gujarat,Rajkot,Gondal,Other,Spices,15.7,1000,4010,2985,02-03-2002
Gujarat,Rajkot,Gondal,Other,Spices,12,1150,4000,2900,02-05-2002
Gujarat,Rajkot,Gondal,Other,Spices,21.3,1350,4000,2805,02-06-2002
Gujarat,Rajkot,Gondal,Other,Spices,12.6,1750,4060,2875,02-07-2002
Gujarat,Rajkot,Gondal,Other,Spices,24.3,1355,3125,2715,02-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,35.8,1280,3710,2665,02-09-2002
Gujarat,Rajkot,Gondal,Other,Spices,57.2,1250,3795,2890,02-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,47.4,1650,3500,2700,02-12-2002
Gujarat,Rajkot,Gondal,Other,Spices,52,1645,3520,2690,2/13/2002
Gujarat,Rajkot,Gondal,Other,Spices,56.1,1750,3400,2900,2/14/2002
Gujarat,Rajkot,Gondal,Other,Spices,87.2,1700,3500,3180,2/15/2002
Gujarat,Rajkot,Gondal,Other,Spices,78,1100,3205,2820,2/16/2002
Gujarat,Rajkot,Gondal,Other,Spices,113,1000,3180,2625,2/18/2002
Gujarat,Rajkot,Gondal,Other,Spices,64.6,1025,3230,2500,2/19/2002
Gujarat,Rajkot,Gondal,Other,Spices,102.1,1165,3125,2420,2/20/2002
Gujarat,Rajkot,Gondal,Other,Spices,93.7,1000,3260,2250,2/21/2002
Gujarat,Rajkot,Gondal,Other,Spices,118.4,750,2995,1925,2/22/2002
Gujarat,Rajkot,Gondal,Other,Spices,135.2,750,2695,1900,2/25/2002
Gujarat,Rajkot,Gondal,Other,Spices,123,750,2700,1750,2/26/2002
Gujarat,Rajkot,Gondal,Other,Spices,131.7,750,2650,1750,2/27/2002
Gujarat,Rajkot,Gondal,Other,Spices,99.5,770,2815,1875,03-05-2002
Gujarat,Rajkot,Gondal,Other,Spices,102.4,910,2725,1750,03-06-2002
Gujarat,Rajkot,Gondal,Other,Spices,120.3,875,2710,1750,03-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,141.3,875,2545,1750,03-09-2002
Gujarat,Rajkot,Gondal,Other,Spices,185,1000,2415,1725,03-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,129,850,2630,1625,3/13/2002
Gujarat,Rajkot,Gondal,Other,Spices,96,700,1820,1200,3/18/2002
Gujarat,Rajkot,Gondal,Other,Spices,89.7,650,2420,1250,3/19/2002
Gujarat,Rajkot,Gondal,Other,Spices,123.9,700,2075,1400,3/20/2002
Gujarat,Rajkot,Gondal,Other,Spices,147.6,500,2000,1325,3/21/2002
Gujarat,Rajkot,Gondal,Other,Spices,178.5,875,2050,1650,3/22/2002
Gujarat,Rajkot,Gondal,Other,Spices,13.2,655,2115,1175,3/23/2002
Gujarat,Rajkot,Gondal,Other,Spices,121.5,750,2000,1500,04-01-2002
Gujarat,Rajkot,Gondal,Other,Spices,157.4,500,1965,1490,04-02-2002
Gujarat,Rajkot,Gondal,Other,Spices,118.5,900,2260,1750,04-05-2002
Gujarat,Rajkot,Gondal,Other,Spices,105.9,750,2090,1675,04-06-2002
Gujarat,Rajkot,Gondal,Other,Spices,161.4,750,2200,1750,04-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,133.8,700,2015,1750,04-09-2002
Gujarat,Rajkot,Gondal,Other,Spices,125.2,700,2360,1700,04-10-2002
Gujarat,Rajkot,Gondal,Other,Spices,109.5,700,2305,1800,04-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,112.9,825,2305,1825,04-12-2002
Gujarat,Rajkot,Gondal,Other,Spices,96.3,750,2115,1700,4/13/2002
Gujarat,Rajkot,Gondal,Other,Spices,157.2,850,2190,1800,4/15/2002
Gujarat,Rajkot,Gondal,Other,Spices,132.8,800,2220,1700,4/16/2002
Gujarat,Rajkot,Gondal,Other,Spices,114.4,800,2375,1800,4/17/2002
Gujarat,Rajkot,Gondal,Other,Spices,110.4,700,2190,1650,4/18/2002
Gujarat,Rajkot,Gondal,Other,Spices,108,750,2405,1650,4/19/2002
Gujarat,Rajkot,Gondal,Other,Spices,127.8,750,2255,1750,4/24/2002
Gujarat,Rajkot,Gondal,Other,Spices,158.1,800,2455,1900,4/26/2002
Gujarat,Rajkot,Gondal,Other,Spices,111.6,850,2620,1535,4/27/2002
Gujarat,Rajkot,Gondal,Other,Spices,60.9,850,2295,1750,4/29/2002
Gujarat,Rajkot,Gondal,Other,Spices,61.9,850,2270,1650,05-01-2002
Gujarat,Rajkot,Gondal,Other,Spices,35.7,900,2040,1725,05-02-2002
Gujarat,Rajkot,Gondal,Other,Spices,90.3,1000,2275,1700,05-03-2002
Gujarat,Rajkot,Gondal,Other,Spices,51.3,900,2385,1700,05-04-2002
Gujarat,Rajkot,Gondal,Other,Spices,37.2,1025,2090,1800,05-06-2002
Gujarat,Rajkot,Gondal,Other,Spices,55.5,900,2140,1800,05-07-2002
Gujarat,Rajkot,Gondal,Other,Spices,34.2,900,2160,1750,05-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,59.7,900,2250,1800,05-10-2002
Gujarat,Rajkot,Gondal,Other,Spices,38.4,900,2155,1750,05-11-2002
Gujarat,Rajkot,Gondal,Other,Spices,72,1000,2440,1875,5/13/2002
Gujarat,Rajkot,Gondal,Other,Spices,34.2,1000,2495,1825,5/14/2002
Gujarat,Rajkot,Gondal,Other,Spices,24.4,1050,2410,1725,5/15/2002
Gujarat,Rajkot,Gondal,Other,Spices,36.6,1105,2380,1875,5/16/2002
Gujarat,Rajkot,Gondal,Other,Spices,22.4,1000,2330,1750,5/18/2002
Gujarat,Rajkot,Gondal,Other,Spices,22.7,1000,2130,1625,5/20/2002
Gujarat,Rajkot,Gondal,Other,Spices,46.5,1000,2250,1750,5/22/2002
Gujarat,Rajkot,Gondal,Other,Spices,15,855,2110,1750,5/23/2002
Gujarat,Rajkot,Gondal,Other,Spices,26.7,740,2160,1650,5/24/2002
Gujarat,Rajkot,Gondal,Other,Spices,24.3,755,2095,1750,5/27/2002
Gujarat,Rajkot,Gondal,Other,Spices,22.8,930,2185,1725,5/28/2002
Gujarat,Rajkot,Gondal,Other,Spices,29.1,1000,2445,1800,5/29/2002
Gujarat,Rajkot,Gondal,Other,Spices,19.1,1000,2365,1800,5/30/2002
Gujarat,Rajkot,Gondal,Other,Spices,16.5,955,2110,1750,5/31/2002
Gujarat,Rajkot,Gondal,Other,Spices,10.9,885,2165,1600,06-01-2002
Gujarat,Rajkot,Gondal,Other,Spices,28.1,905,2345,1750,06-03-2002
Gujarat,Rajkot,Gondal,Other,Spices,18,830,2325,1700,06-04-2002
Gujarat,Rajkot,Gondal,Other,Spices,18,830,2215,1750,06-05-2002
Gujarat,Rajkot,Gondal,Other,Spices,18,925,2180,1750,06-06-2002
Gujarat,Rajkot,Gondal,Other,Spices,13.9,1025,2370,1750,06-07-2002
Gujarat,Rajkot,Gondal,Other,Spices,15.3,1250,2445,1800,06-08-2002
Gujarat,Rajkot,Gondal,Other,Spices,18.6,1205,2330,1750,06-10-2002
